Album	Track	Title	FeaturedArtists	FromTheVault	LowestFqWord	PrevalentVerb	PrevalentAdjective	PrevalentNoun	Lines	Verses	Bridges	Choruses	Refrains	InOuts	Words	GeniusUrl
TSW	1	Tim McGraw		No	shined	hope	blue	night	54	12	4	34	0	4	360	https://genius.com/Taylor-swift-tim-mcgraw-lyrics
TSW	2	Picture To Burn		No	stoppin'	burn	bad	pickup	30	9	2	16	0	3	291	https://genius.com/Taylor-swift-picture-to-burn-lyrics
TSW	3	Teardrops On My Guitar		No	wishin'	Drew	fake	reason	33	12	0	17	0	4	288	https://genius.com/Taylor-swift-teardrops-on-my-guitar-lyrics
TSW	4	A Place In This World		No	wearing	find	trying	girl	27	12	2	10	0	3	232	https://genius.com/Taylor-swift-a-place-in-this-world-lyrics
TSW	5	Cold As You		No	condescending	died	rainy	shame	31	8	4	19	0	0	247	https://genius.com/Taylor-swift-cold-as-you-lyrics
TSW	6	The Outside		No	oh-oh	try	better	view	36	8	0	24	0	4	234	https://genius.com/Taylor-swift-the-outside-lyrics
TSW	7	Tied Together With A Smile		No	undone	smile	tied	baby	38	11	0	22	0	5	254	https://genius.com/Taylor-swift-tied-together-with-a-smile-lyrics
TSW	8	Stay Beautiful		No	daydream	stay	beautiful	piece	47	15	4	22	0	6	261	https://genius.com/Taylor-swift-stay-beautiful-lyrics
TSW	9	Should've Said No		No	begging	let	past	baby	50	8	6	36	0	0	352	https://genius.com/Taylor-swift-shouldve-said-no-lyrics
TSW	10	Mary's Song (Oh My My My)		No	shined	love	shined	mamas	40	14	3	20	0	3	330	https://genius.com/Taylor-swift-marys-song-oh-my-my-my-lyrics
TSW	11	Our Song		No	one-hand	play	late	song	50	16	3	27	0	4	370	https://genius.com/Taylor-swift-our-song-lyrics
TSW	12	I'm Only Me When I'm With You		No	tryin'	fly	crazy	ground	44	12	3	27	0	2	304	https://genius.com/Taylor-swift-im-only-me-when-im-with-you-lyrics
TSW	13	Invisible		No	wanting	show	invisible	light	41	8	4	27	0	2	250	https://genius.com/Taylor-swift-invisible-lyrics
TSW	14	A Perfectly Good Heart		No	mmm-hmm	break	unbroken	heart	42	4	2	36	0	0	232	https://genius.com/Taylor-swift-a-perfectly-good-heart-lyrics
FER	1	Fearless		No	one-horse	drag	fearless	dance	42	17	6	17	0	2	310	https://genius.com/Taylor-swift-fearless-taylors-version-lyrics
FER	2	Fifteen		No	realized	tells	deep	breath	51	22	3	23	0	3	385	https://genius.com/Taylor-swift-fifteen-taylors-version-lyrics
FER	3	Love Story		No	wondering	love	young	waiting	48	12	4	29	0	3	378	https://genius.com/Taylor-swift-love-story-taylors-version-lyrics
FER	4	Hey Stephen		No	deceivin'	help	magic	feelin'	58	20	7	23	0	8	412	https://genius.com/Taylor-swift-hey-stephen-taylors-version-lyrics
FER	5	White Horse		No	beggin'	catch	late	horse	39	8	4	24	0	3	304	https://genius.com/Taylor-swift-white-horse-taylors-version-lyrics
FER	6	You Belong With Me		No	dreaming	belong	whole	night	45	14	5	23	0	3	396	https://genius.com/Taylor-swift-you-belong-with-me-taylors-version-lyrics
FER	7	Breathe	Colbie Caillat	No	tried	breathe	easy	end	36	12	6	16	0	2	316	https://genius.com/Taylor-swift-breathe-taylors-version-lyrics
FER	8	Tell Me Why		No	oh-oh	tell	sick	temper	46	8	4	32	0	2	348	https://genius.com/Taylor-swift-tell-me-why-taylors-version-lyrics
FER	9	You're Not Sorry		No	wastin'	believe	sorry	baby	44	8	2	28	0	6	308	https://genius.com/Taylor-swift-youre-not-sorry-taylors-version-lyrics
FER	10	The Way I Loved You		No	fakin'	feel	loved	breakin'	49	11	6	27	0	5	335	https://genius.com/Taylor-swift-the-way-i-loved-you-taylors-version-lyrics
FER	11	Forever & Always		No	caught	feel	wrong	rains	51	21	4	24	0	2	409	https://genius.com/Taylor-swift-forever-and-always-taylors-version-lyrics
FER	12	The Best Day		No	staying	run	best	home	31	12	4	15	0	0	347	https://genius.com/Taylor-swift-the-best-day-taylors-version-lyrics
FER	13	Change		No	outnumbered	sing	sad	things	31	8	4	18	0	1	272	https://genius.com/Taylor-swift-change-taylors-version-lyrics
FER	14	Jump Then Fall		No	wrapped	jump	afraid	baby	54	15	6	27	0	6	382	https://genius.com/Taylor-swift-jump-then-fall-taylors-version-lyrics
FER	15	Untouchable		No	reachin'	feel	little	night	46	5	0	39	0	2	396	https://genius.com/Taylor-swift-untouchable-taylors-version-lyrics
FER	17	Come In With The Rain		No	tears	talk	tired	window	31	8	3	18	0	2	229	https://genius.com/Taylor-swift-come-in-with-the-rain-taylors-version-lyrics
FER	18	Superstar		No	played	smile	dim	superstar	42	12	4	24	0	2	270	https://genius.com/Taylor-swift-superstar-taylors-version-lyrics
FER	19	The Other Side Of The Door		No	ignorin'	leave	little	window	47	10	6	23	0	8	374	https://genius.com/Taylor-swift-the-other-side-of-the-door-taylors-version-lyrics
FER	20	Today Was A Fairytale		No	picked	must	magic	air	54	17	6	29	0	2	344	https://genius.com/Taylor-swift-today-was-a-fairytale-taylors-version-lyrics
FER	21	You All Over Me	Maren Morris	Yes	worst	reminds	held	amount	38	14	0	22	0	2	295	https://genius.com/Taylor-swift-you-all-over-me-taylors-version-from-the-vault-lyrics
FER	22	Mr. Perfectly Fine		Yes	sashay	miss	fine	mr.	53	8	13	29	0	3	412	https://genius.com/Taylor-swift-mr-perfectly-fine-taylors-version-from-the-vault-lyrics
FER	23	We Were Happy		Yes	deserved	showed	happy	baby	42	15	4	21	0	2	248	https://genius.com/Taylor-swift-we-were-happy-taylors-version-from-the-vault-lyrics
FER	24	That's When	Keith Urban	Yes	stormin'	let	sunny	morning	50	12	3	27	0	8	314	https://genius.com/Taylor-swift-thats-when-taylors-version-from-the-vault-lyrics
FER	25	Don't You		Yes	tried	smile	missed	heart	29	8	5	15	0	1	228	https://genius.com/Taylor-swift-dont-you-taylors-version-from-the-vault-lyrics
FER	26	Bye Bye Baby		Yes	slipping	keep	bad	baby	45	15	4	26	0	0	343	https://genius.com/Taylor-swift-bye-bye-baby-taylors-version-from-the-vault-lyrics
SPN	1	Mine		No	wondering	remember	careless	man's	50	8	7	29	0	6	400	https://genius.com/Taylor-swift-mine-taylors-version-lyrics
SPN	2	Sparks Fly		No	captivated	sparks	pouring	baby	38	12	5	18	0	3	349	https://genius.com/Taylor-swift-sparks-fly-taylors-version-lyrics
SPN	3	Back To December		No	swallowing	turn	realized	December	50	12	9	28	0	1	424	https://genius.com/Taylor-swift-back-to-december-taylors-version-lyrics
SPN	4	Speak Now		No	marrying	run	single	door	61	17	6	38	0	0	432	https://genius.com/Taylor-swift-speak-now-taylors-version-lyrics
SPN	5	Dear John		No	wonderin'	messed	young	girl	50	21	8	18	0	3	376	https://genius.com/Taylor-swift-dear-john-taylors-version-lyrics
SPN	6	Mean		No	pushed	mean	big	livin'	55	14	10	31	0	0	405	https://genius.com/Taylor-swift-mean-taylors-version-lyrics
SPN	7	The Story Of Us		No	pretending	twist	dyin'	killin'	57	12	6	38	0	1	451	https://genius.com/Taylor-swift-the-story-of-us-taylors-version-lyrics
SPN	8	Never Grow Up		No	sounded	grow	little	darling	60	12	5	39	0	4	444	https://genius.com/Taylor-swift-never-grow-up-taylors-version-lyrics
SPN	9	Enchanted		No	pacing	meet	enchanted	night	58	23	12	21	0	2	389	https://genius.com/Taylor-swift-enchanted-taylors-version-lyrics
SPN	10	Better Than Revenge		No	underestimated	should	better	mind	58	17	5	24	0	12	532	https://genius.com/Taylor-swift-better-than-revenge-taylors-version-lyrics
SPN	11	Innocent		No	lunchbox	wait	innocent	string	48	8	7	31	0	2	317	https://genius.com/Taylor-swift-innocent-taylors-version-lyrics
SPN	12	Haunted		No	wishing	leave	wrong	holding	51	12	4	30	0	5	321	https://genius.com/Taylor-swift-haunted-taylors-version-lyrics
SPN	13	Last Kiss		No	lit	kiss	imagined	name	50	21	4	21	0	4	406	https://genius.com/Taylor-swift-last-kiss-taylors-version-lyrics
SPN	14	Long Live		No	shined	live	screaming	pretenders	61	24	14	23	0	0	441	https://genius.com/Taylor-swift-long-live-taylors-version-lyrics
SPN	15	Ours		No	ignored	love	little	mind	39	13	7	19	0	0	297	https://genius.com/Taylor-swift-ours-taylors-version-lyrics
SPN	16	Superman		No	love-struck	watch	busy	Superman	55	20	10	22	0	3	377	https://genius.com/Taylor-swift-superman-taylors-version-lyrics
SPN	17	Electric Touch	Fall Out Boy	Yes	fell	touch	electric	life	36	14	8	14	0	0	338	https://genius.com/Taylor-swift-electric-touch-taylors-version-from-the-vault-lyrics
SPN	18	When Emma Falls In Love		Yes	seein'	love	small	boys	40	20	4	15	0	1	379	https://genius.com/Taylor-swift-when-emma-falls-in-love-taylors-version-from-the-vault-lyrics
SPN	19	I Can See You		Yes	passed	touch	past	baby	49	10	6	28	0	5	410	https://genius.com/Taylor-swift-i-can-see-you-taylors-version-from-the-vault-lyrics
SPN	20	Castles Crumbling	Hayley Williams	Yes	pushed	watch	crumbling	empire	39	8	8	17	0	6	317	https://genius.com/Taylor-swift-castles-crumbling-taylors-version-from-the-vault-lyrics
SPN	21	Foolish One		Yes	oh-oh	love	foolish	confessions	61	16	9	24	0	12	461	https://genius.com/Taylor-swift-foolish-one-taylors-version-from-the-vault-lyrics
SPN	22	Timeless		Yes	turned	love	timeless	life	66	16	5	43	0	2	524	https://genius.com/Taylor-swift-timeless-taylors-version-from-the-vault-lyrics
RED	1	State Of Grace		No	cannonball	love	busy	room	44	11	8	21	0	4	274	https://genius.com/Taylor-swift-state-of-grace-taylors-version-lyrics
RED	2	Red		No	wishing	forgetting	red	dead-end	39	8	5	25	0	1	325	https://genius.com/Taylor-swift-red-taylors-version-lyrics
RED	3	Treacherous		No	swept	follow	treacherous	home	46	16	16	12	0	2	260	https://genius.com/Taylor-swift-treacherous-taylors-version-lyrics
RED	4	I Knew You Were Trouble		No	liked	walked	hard	trouble	60	12	4	40	0	4	404	https://genius.com/Taylor-swift-i-knew-you-were-trouble-taylors-version-lyrics
RED	6	22		No	oh-oh	feels	whole	nights	80	16	2	62	0	0	406	https://genius.com/Taylor-swift-22-taylors-version-lyrics
RED	7	I Almost Do		No	moved	bet	tired	night	38	8	6	20	0	4	278	https://genius.com/Taylor-swift-i-almost-do-taylors-version-lyrics
RED	8	We Are Never Ever Getting Back Together		No	ha-ha	talk	called	friends	43	12	6	19	0	6	373	https://genius.com/Taylor-swift-we-are-never-ever-getting-back-together-taylors-version-lyrics
RED	9	Stay Stay Stay		No	occurring	stay	mad	night	41	12	8	20	0	1	330	https://genius.com/Taylor-swift-stay-stay-stay-taylors-version-lyrics
RED	10	The Last Time	Gary Lightbody	No	achin'	put	better	askin'	54	16	6	24	0	8	438	https://genius.com/Taylor-swift-the-last-time-taylors-version-lyrics
RED	11	Holy Ground		No	fell	stood	lookin'	dance	48	16	8	16	0	8	315	https://genius.com/Taylor-swift-holy-ground-taylors-version-lyrics
RED	12	Sad Beautiful Tragic		No	erasing	love	beautiful	affair	23	8	4	11	0	0	190	https://genius.com/Taylor-swift-sad-beautiful-tragic-taylors-version-lyrics
RED	13	The Lucky One		No	chasin'	tell	lucky	name	42	18	0	24	0	0	335	https://genius.com/Taylor-swift-the-lucky-one-taylors-version-lyrics
RED	14	Everything Has Changed	Ed Sheeran	No	held	feel	better	eyes	69	12	4	44	0	9	443	https://genius.com/Taylor-swift-everything-has-changed-taylors-version-lyrics
RED	15	Starlight		No	pretendin'	tune	whole	starlight	49	11	4	28	0	6	335	https://genius.com/Taylor-swift-starlight-taylors-version-lyrics
RED	16	Begin Again		No	laughin'	watched	little	Wednesday	34	12	6	15	0	1	334	https://genius.com/Taylor-swift-begin-again-taylors-version-lyrics
RED	17	The Moment I Knew		No	streaming	dress	happy	moment	62	24	8	26	0	4	343	https://genius.com/Taylor-swift-the-moment-i-knew-taylors-version-lyrics
RED	18	Come Back...Be Here		No	played	miss	simple	feelin'	55	12	5	36	0	2	319	https://genius.com/Taylor-swift-come-back-be-here-taylors-version-lyrics
RED	19	Girl At Home		No	oh-oh	lose	fine	girl	56	12	4	34	0	6	395	https://genius.com/Taylor-swift-girl-at-home-taylors-version-lyrics
RED	21	Ronan		No	worst	remember	best	baby	41	20	4	15	0	2	303	https://genius.com/Taylor-swift-ronan-taylors-version-lyrics
RED	22	Better Man		Yes	careless	wish	better	man	45	8	7	28	0	2	488	https://genius.com/Taylor-swift-better-man-taylors-version-from-the-vault-lyrics
RED	23	Nothing New	Phoebe Bridgers	Yes	faking	wake	middle	night	49	13	6	30	0	0	367	https://genius.com/Taylor-swift-nothing-new-taylors-version-from-the-vault-lyrics
RED	24	Babe		Yes	oh-oh	promises	wrecking	babe	50	8	5	26	0	11	373	https://genius.com/Taylor-swift-babe-taylors-version-from-the-vault-lyrics
RED	25	Message In A Bottle		Yes	wonderin'	love	reachin'	standin'	47	8	5	30	0	4	396	https://genius.com/Taylor-swift-message-in-a-bottle-taylors-version-from-the-vault-lyrics
RED	26	I Bet You Think About Me	Chris Stapleton	Yes	upper-crust	bet	fine	city	49	20	6	16	0	7	419	https://genius.com/Taylor-swift-i-bet-you-think-about-me-taylors-version-from-the-vault-lyrics
RED	27	Forever Winter		Yes	pacin'	fall	young	pieces	50	8	4	36	0	2	354	https://genius.com/Taylor-swift-forever-winter-taylors-version-from-the-vault-lyrics
RED	28	Run	Ed Sheeran	Yes	locket	run	so-called	law	53	11	5	36	0	1	348	https://genius.com/Taylor-swift-run-taylors-version-from-the-vault-lyrics
RED	29	The Very First Night		Yes	broken-hearted	miss	broke	night	55	16	7	32	0	0	400	https://genius.com/Taylor-swift-the-very-first-night-taylors-version-from-the-vault-lyrics
RED	30	All Too Well (10 Minute Version)		Yes	crumpled-up	remember	rare	wind	109	52	8	30	0	19	968	https://genius.com/Taylor-swift-all-too-well-10-minute-version-taylors-version-from-the-vault-lyrics
NEN	1	Welcome To New York		No	guessing	welcome	bright	waitin'	41	10	4	27	0	0	316	https://genius.com/Taylor-swift-welcome-to-new-york-taylors-version-lyrics
NEN	2	Blank Space		No	worst	tell	insane	list	82	30	4	48	0	0	518	https://genius.com/Taylor-swift-blank-space-taylors-version-lyrics
NEN	3	Style		No	slicked	heard	crashin'	style	44	14	4	26	0	0	389	https://genius.com/Taylor-swift-style-taylors-version-lyrics
NEN	4	Out Of The Woods		No	discovered	remember	clear	woods	69	20	15	34	0	0	667	https://genius.com/Taylor-swift-out-of-the-woods-taylors-version-lyrics
NEN	5	All You Had To Do Was Stay		No	pushed	stay	late	palm	62	16	7	35	0	4	468	https://genius.com/Taylor-swift-all-you-had-to-do-was-stay-taylors-version-lyrics
NEN	6	Shake It Off		No	mm-mm	shake	fake	baby	70	16	10	44	0	0	563	https://genius.com/Taylor-swift-shake-it-off-taylors-version-lyrics
NEN	7	I Wish You Would		No	hung	wish	mad	phone	76	15	9	39	0	13	671	https://genius.com/Taylor-swift-i-wish-you-would-taylors-version-lyrics
NEN	8	Bad Blood		No	band-aids	love	bad	blood	69	16	7	46	0	0	496	https://genius.com/Taylor-swift-bad-blood-taylors-version-lyrics
NEN	9	Wildest Dreams		No	starin'	remember	wildest	dreams	64	10	13	41	0	0	358	https://genius.com/Taylor-swift-wildest-dreams-taylors-version-lyrics
NEN	10	How You Get The Girl		No	worse	wait	better	girl	54	8	6	34	0	6	388	https://genius.com/Taylor-swift-how-you-get-the-girl-taylors-version-lyrics
NEN	11	This Love		No	tossing	love	free	hands	51	12	4	35	0	0	376	https://genius.com/Taylor-swift-this-love-taylors-version-lyrics
NEN	12	I Know Places		No	chasing	hide	tryin'	places	39	12	2	20	0	5	315	https://genius.com/Taylor-swift-i-know-places-taylors-version-lyrics
NEN	13	Clean		No	worst	breathe	clean	months	42	8	6	24	0	4	309	https://genius.com/Taylor-swift-clean-taylors-version-lyrics
NEN	14	Wonderland		No	pretended	found	lost	Wonderland	56	12	6	38	0	0	390	https://genius.com/Taylor-swift-wonderland-taylors-version-lyrics
NEN	15	You Are In Love		No	moved	love	true	silence	42	16	10	16	0	0	435	https://genius.com/Taylor-swift-you-are-in-love-taylors-version-lyrics
NEN	16	New Romantics		No	oh-oh	build	best	baby	58	18	5	35	0	0	466	https://genius.com/Taylor-swift-new-romantics-taylors-version-lyrics
NEN	17	Slut!		Yes	love-struck	might	drunk	slut	49	10	10	24	0	5	337	https://genius.com/Taylor-swift-slut-taylors-version-from-the-vault-lyrics
NEN	18	Say Don't Go		Yes	pacin'	stay	bleedin'	knife	62	12	8	31	8	3	441	https://genius.com/Taylor-swift-say-dont-go-taylors-version-from-the-vault-lyrics
NEN	19	Now That We Don't Talk		Yes	chasing	talk	lost	mom	36	16	4	8	0	8	281	https://genius.com/Taylor-swift-now-that-we-dont-talk-taylors-version-from-the-vault-lyrics
NEN	20	Suburban Legends		Yes	mismatched	born	suburban	friends	37	16	0	12	0	9	306	https://genius.com/Taylor-swift-suburban-legends-taylors-version-from-the-vault-lyrics
